name,amenity,longitude,latitude
Szkoła Podstawowa nr 66 im. Edwarda Dembowskiego w Krakowie,school,19.8736646,50.0167367
Prywatna Szkoła Podstawowa nr 5,school,19.9377112,50.0642259
Szkoła Podstawowa Specjalna nr 121 im. św. Franciszka z Asyżu,school,20.0166248,50.0197468
Szkoła Podstawowa nr 109 im. Kornela Makuszyńskiego,school,19.9469236,50.0932358
Szkoła Podstawowa im. Bogdana Jańskiego,school,20.0206429,50.0799214
Szkoła Podstawowa nr 87 - Sportowa im. dr Henryka Jordana,school,20.0348601,50.0793712
Szkoła Podstawowa Specjalna nr 79,school,20.0551229,50.0687933
Szkoła Podstawowa nr 160 Zgromadzenia Sióstr Augustianek,school,19.9410917,50.0489654
Szkoła Podstawowa nr 105 im. Ludwiki Wawrzyńskiej,school,20.042239,50.0780003
Szkoła Podstawowa nr 135,school,19.9503625,49.9842039
"Chrześcijańska Szkoła Podstawowa ""Uczeń""",school,19.9041825,50.0858335
Szkoła podstawowa z oddziałem dwujęzycznym im. Piotra Michałowskiego,school,19.9284399,50.0661892
Szkoła podstawowa nr 159,school,19.942458,50.0589646
Szkoła Podstawowa nr 26 im A. Struga,school,19.9392397,50.0401046
Szkoła Podstawowa Źródło,school,19.9076743,50.0838754
Szkoła Podstawowa nr 52 im. Marii Dąbrowskiej,school,20.007327,50.0834835
Szkoła Podstawowa nr 110,school,19.9238361,50.050552
Szkoła Podstawowa z Oddziałami Integracyjnymi nr 128,school,19.9858893,50.0797644
Szkoła Podstawowa numer 114 im. Arkadego Fiedlera,school,19.9841244,50.073895
"Społeczna Szkoła Podstawowa nr 4 im. Juliusza Słowackiego, STO 64",school,19.9375766,50.0673805
Szkoła Podstawowa Specjalna nr 131 im. św. Mikołaja,school,19.953003,50.0675976
Szkoła Podstawowa Wierchy,school,19.9076057,50.0836099
Katolicka szkoła podstawowa imienia świętej Jadwigi Królowej,school,19.9222716,50.0841797
Prywatna Szkoła Podstawowa im. Józefa Piłsudskiego,school,19.9830241,50.0230479
Szkoła Podstawowa Specjalna nr 150,school,19.9900894,50.0212242
Niepubliczna Szkoła Podstawowa z oddziałami dwujęzycznymi Cracow International School,school,19.9679285,50.0780765
Prywatna Szkoła Podstawowa Academos im. Edmunda Niziurskiego,school,19.9316271,50.0675783
Szkoła Podstawowa Przystanek Szkoła,school,19.929104,50.0800531
"Niepubliczna Chrześcijańska Szkoła Podstawowa nr 2 z Oddziałami Integracyjnymi ""Uczeń""",school,19.9181324,50.0277096
Szkoła Podstawowa nr 4 im. Romualda Traugutta w Krakowie,school,19.9316347,50.0593188
Szkoła Podstawowa nr 13,school,19.963804,50.0988645
Prywatna Szkoła Podstawowa i VII Prywatne Liceum Ogólnokształcące  im. Mikołaja. Reja,school,19.9390074,50.0557181
Szkoła Podstawowa Nr 75,school,19.9625578,50.0739101
Szkoła Podstawowa nr 35 im. Króla Jana III Sobieskiego,school,19.8947516,50.0815692
Chrześcijańska Szkoła Podstawowa Uczeń,school,19.902122,50.070611
Szkoła Podstawowa nr 117 im. Krakowskiej Kongregacji Kupieckiej,school,20.009344960554255,50.01351962867139
